Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
MJ030-2-barcode65-umi88451bins-ubs-5,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,UBA11740,UBA11740 sp003168335,1.0
MJ030-2-barcode65-umi8911bins-ubs-53,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter_A,Mucilaginibacter_A ginsenosidivorans,1.0
MJ030-2-barcode65-umi89197bins-ubs-7,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi89462bins-ubs-5,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,QIAJ01,Unassigned,1.0
MJ030-2-barcode65-umi89683bins-ubs-5,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Fen-178,Unassigned,1.0
MJ030-2-barcode65-umi89789bins-ubs-5,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,UBA2421,Unassigned,1.0
MJ030-2-barcode65-umi90150bins-ubs-5,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi9027bins-ubs-54,Bacteria,Elusimicrobiota,Elusimicrobia_984208,Unassigned,Unassigned,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi90671bins-ubs-5,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi9074bins-ubs-81,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Limisphaerales,Pedosphaeraceae,Pedosphaera,Pedosphaera sp000172555,1.0
MJ030-2-barcode65-umi9077bins-ubs-51,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ilyomonas,Ilyomonas limi,1.0
MJ030-2-barcode65-umi9089bins-ubs-49,Bacteria,Pseudomonadota,Alphaproteobacteria,Paracaedibacterales,CAIULA01,Finniella,Finniella inopinata_A,1.0
MJ030-2-barcode65-umi91192bins-ubs-5,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Gp1-AA117,Angelobacter,Angelobacter sp003223515,1.0
MJ030-2-barcode65-umi9165bins-ubs-84,Bacteria,Bacillota_I,Bacilli_A,Bacillales_A,Planococcaceae,Ureibacillus,Ureibacillus massiliensis,1.0
MJ030-2-barcode65-umi91760bins-ubs-4,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi92271bins-ubs-4,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Palsa-89,Palsa-89 sp003166865,1.0
MJ030-2-barcode65-umi92506bins-ubs-4,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi92668bins-ubs-4,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Limisphaerales,Pedosphaeraceae,Pedosphaera,Pedosphaera sp000172555,1.0
MJ030-2-barcode65-umi9274bins-ubs-52,Bacteria,Myxococcota_A_473307,Polyangia_463783,Polyangiales,Unassigned,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi92766bins-ubs-5,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Occallatibacter,Occallatibacter sp003170825,1.0
MJ030-2-barcode65-umi9282bins-ubs-59,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Limisphaerales,Unassigned,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi93084bins-ubs-4,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi93669bins-ubs-4,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5066,Unassigned,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi94056bins-ubs-4,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi941bins-ubs-145,Bacteria,Bacteroidota,Bacteroidia,AKYH767-A,2013-40CM-41-45,QQVM01,QQVM01 sp004295015,1.0
MJ030-2-barcode65-umi94619bins-ubs-4,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Palsa-187,Palsa-187 sp902826605,1.0
MJ030-2-barcode65-umi94773bins-ubs-4,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
