"k","fold","lambda1","lambda2","canonical_direction","cor.train","cor.test"
15,12,0.000316227766016838,0,2,0.999999999990131,0.714952634650745
15,12,0.000316227766016838,0,3,0.992992050078781,0.703720923530529
15,12,0.000316227766016838,0,4,0.999999999972592,0.851772672417038
15,12,0.000316227766016838,0,5,0.999999999988502,0.403432630941115
15,13,0.000316227766016838,0,1,0.999999999902214,0.911644780823997
15,13,0.000316227766016838,0,2,0.999999999990373,0.544221485772542
15,13,0.000316227766016838,0,3,0.992748344731644,0.859119715275711
15,13,0.000316227766016838,0,4,0.999999999969905,0.822703924920539
15,13,0.000316227766016838,0,5,0.999999999990993,0.306906624928401
15,14,0.000316227766016838,0,1,0.999999999991433,0.644683975384541
15,14,0.000316227766016838,0,2,0.999999999990714,0.747194845916557
15,14,0.000316227766016838,0,3,0.99999999998548,0.437943440903637
15,14,0.000316227766016838,0,4,0.99999999998951,0.819998343850985
15,14,0.000316227766016838,0,5,0.999999999989982,0.21696789630135
15,15,0.000316227766016838,0,1,0.999999999908262,0.862150585426173
15,15,0.000316227766016838,0,2,0.999999999991566,0.713932426633983
15,15,0.000316227766016838,0,3,0.992927761313793,0.786352408415511
15,15,0.000316227766016838,0,4,0.999999999974593,0.749187225249464
15,15,0.000316227766016838,0,5,0.999999999988553,0.747634763755777
15,1,0.001,0,1,0.999999999085926,0.868066641043794
15,1,0.001,0,2,0.999999999897947,0.821819684158094
15,1,0.001,0,3,0.993042162139019,0.60306653760395
15,1,0.001,0,4,0.999999999604746,0.818363741472475
15,1,0.001,0,5,0.999999999885144,0.653282442248125
15,2,0.001,0,1,0.999999998873088,0.913911481004728
15,2,0.001,0,2,0.999999999878188,0.379269182411308
15,2,0.001,0,3,0.99295931186263,0.855453364295349
15,2,0.001,0,4,0.999999999766463,0.436423051846996
15,2,0.001,0,5,0.99999999987104,0.566483184560242
15,3,0.001,0,1,0.999999999912657,0.932696752285252
15,3,0.001,0,2,0.999999999909463,0.708837565870221
15,3,0.001,0,3,0.999999999854145,0.202190988388076
15,3,0.001,0,4,0.999999999890749,0.328632633055591
15,3,0.001,0,5,0.999999999895184,0.705058957736376
15,4,0.001,0,1,0.999999999115238,0.881998747681536
15,4,0.001,0,2,0.999999999904713,0.687589852405858
15,4,0.001,0,3,0.993079705143949,0.665579874844455
15,4,0.001,0,4,0.99999999969047,0.799878412446978
15,4,0.001,0,5,0.999999999866313,0.694441129493755
15,5,0.001,0,1,0.999999998943951,0.659384358344284
15,5,0.001,0,2,0.999999999909642,0.526733407643599
15,5,0.001,0,3,0.993183389926475,0.318200748243443
15,5,0.001,0,4,0.999999999714333,0.45030849077485
