Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
MJ030-1-barcode35-umi4328bins-ubs-67,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae_486827,Parasphingorhabdus,Parasphingorhabdus marina,1.0
MJ030-1-barcode35-umi43613bins-ubs-14,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,VA-1,Nitromaritima,Unassigned,1.0
MJ030-1-barcode35-umi44166bins-ubs-13,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Roseibacillus_B,Unassigned,1.0
MJ030-1-barcode35-umi4423bins-ubs-68,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_641035,Nitrincolaceae,Amphritea,Amphritea atlantica,1.0
MJ030-1-barcode35-umi44421bins-ubs-12,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Mariniblastus,Unassigned,1.0
MJ030-1-barcode35-umi44457bins-ubs-11,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Shimia_A_490690,Shimia_A_490690 sp001292625,1.0
MJ030-1-barcode35-umi4462bins-ubs-65,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,GCA-2746365 sp002746365,1.0
MJ030-1-barcode35-umi44675bins-ubs-12,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales_602961,Sedimenticolaceae,Thiolapillus,Unassigned,1.0
MJ030-1-barcode35-umi44685bins-ubs-11,Bacteria,Bacteroidota,Bacteroidia,Cytophagales_B,Cyclobacteriaceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi44692bins-ubs-12,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi45179bins-ubs-11,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650612,Pseudohongiellaceae,UBA9145,UBA9145 sp002402175,1.0
MJ030-1-barcode35-umi45365bins-ubs-13,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales_598058,Thioprofundaceae,Thioprofundum,Unassigned,1.0
MJ030-1-barcode35-umi45634bins-ubs-14,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-19610,DSM-19610,Thiogranum,Unassigned,1.0
MJ030-1-barcode35-umi46446bins-ubs-12,Bacteria,Myxococcota_A_473307,WYAZ01,WYAZ01,WYAZ01,WYAZ01,WYAZ01 sp011526105,1.0
MJ030-1-barcode35-umi46701bins-ubs-11,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,Arctic95D-9,Unassigned,1.0
MJ030-1-barcode35-umi4691bins-ubs-66,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi46987bins-ubs-10,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,SMVS01,SMVS01 sp004357435,1.0
MJ030-1-barcode35-umi47045bins-ubs-11,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,RFSX01,Unassigned,1.0
MJ030-1-barcode35-umi47146bins-ubs-11,Bacteria,Pseudomonadota,Gammaproteobacteria,Arenicellales,Poriferihabitantaceae,Spongiihabitans,Spongiihabitans thiooxidans,1.0
MJ030-1-barcode35-umi47229bins-ubs-10,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter,Amylibacter sediminis,1.0
MJ030-1-barcode35-umi47306bins-ubs-11,Bacteria,Pseudomonadota,Gammaproteobacteria,HK1,HK1,HK1,Unassigned,1.0
MJ030-1-barcode35-umi47367bins-ubs-10,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,GCA-2748055,GCA-2748055,Unassigned,1.0
